قبل از تغییر دادن شیت کامنت این خونه رو بخونید.,,,رشته و مقطع,,,,,,نمرات,,,,,,,,,,,,,,ریکام,,,,دستیار آموزشی,اینترن‌شیپ (زمینه / دانشگاه - موسسه / و ترجیحا استاد),ریسرچ,,سایر موارد رزومه,تجربیات شخصی (خیلی خوبه اگر در این قسمت لینک بلاگ یا گوگل داک از تجربیاتتون بذارید.),ســـــــــــــــــــــــــفـــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــارت (این بخش در اصل برای آمریکاست ولی برای کشورهای دیگه هم با ذکر کشور پر کنید خوبه.),,,,,,,,,,,,,
,,,مقطع و سال ورود,رشته,رشته‌ی دوم,ماینور,گرایش (فقط ارشدها),فیلد اپلای,معدل,GRE,,,TOEFL,,,,,IELTS,,,,,۱,۲,۳,بیشتر!,,,استاد(ها) و زمینه(ها)‌ی ریسرچ,مقاله با ذکر زمینه و ترجیحا ژورنال (کنفرانس!),,,محل,تاریخ گرفتن وقت (پرداخت mrv fee),وقت اولیه,وقت بعد از Reschedule,خدمات شریف ویزا و امثالهم / هزینه,تاریخ اکسپت کردن آفر,تاریخ صدور I20,تاریخ درخواستی برای اکسپدایت,نتیجه اکسپدایت,هزینه سفر به سفارت,وضعیت ویزا,شرایط ویزا (سینگل / مولتی / ...),تاریخ صدور ویزا,سایر تجربیات مربوط به سفارت
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,REJ,REJ,REJ,Final Decision,,,REJ,,,,,REJ,,,,,Applied,REJ,REJ,REJ,REJ,REJ,REJ,REJ,,,REJ,REJ,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,,April 4,April 15,April 6,Mar 29,April 1st,April 5,Feb 16,,,Feb 3,,,,,March 9,,,,,,Mar 18,Mar 22,,Mar 2,March 7,Feb 15,March 7,,,Feb 14,,,,,,,,,,,,,
,فاند,,,,,,,,,۲۲۵۰۰ برای بهار و پاییز - ۵۰۰۰ هر سال برای دو سال اوّل - بیمه درمانی و امکان آر ای بودن و گرفتن حدود ۱۱۰۰۰ در تابستان,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,,,خدا لعنتتون کنه آخه روز آخر ایمیل می‌زنین؟,,۱۴ فوریه ایمیل گرفتم از استادی که اسمش رو گفته بودم و قبلا هم ایمیل زده بودم بهش که بیا یه صحبتی بکنیم. // یه صحبت کردیم با هم که اصلا سوال تکنیکال اینا نپرسید. یه پیپری که دوست داشتم با هم بررسی کردیم و راجع بهش حرف زدیم و بقیه اش بیشتر راجع به این که من چی می‌خوام و اون چی مي‌خواد بود. /// ۲۹ مارچ بهم ایمیل زد استاده که ببخشید نمی‌خوام آدم‌هام رو زیاد کنم و یکی فقط دارم می‌گیرم و ریجکتم کرد. هعی,,,همین طوری ایمیل زدن که تصمیم گرفتیم برو ببین :)),,,خیلی دلم از این سوخت. خیلی دوست داشتم گروهشون رو.,,,,,,,,,,,,,یه مصاحبه‌ای کردم. سوال فنی نپرسید، گفت بگو چی کارا کردی تو ریسرچ‌هات و چرا معدلت انقدر کمه و رو چی دوست داری کار کنی.,,,یه گزینهٔ predoc داشت. اون رو زدم آره دوست دارم. ببینم چی می‌شه.,,,,فکرکنم که باید زودتر اپلای می‌کردم چون خارجی بودم.,۱۵ فوریه ایمیل زدن که بیا یه مصاحبه‌ای بکن. ۲۴ فوریه یه مصاحبه کردم که دو تا استاد بودن و یک مسئول اجرایی. ۴۵ دقیقه بود و هم سوال تکنیکال پرسیدن و هم سوال‌های متداول. خیلی تاکید داشتن که بگم چرا به طور خاص پروگرم اونا برام خوبه و من برای پروگرم اون‌ها خوبم. // بهم ایمیل زدن که نمی‌گیریمت ولی برای دور بعد بررسیت می‌کنیم.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۷,کلیت رزومه,,کارشناسی ۹۷,مهندسی کامپیوتر,,,,ML (Adversarial Robustness),19.6,,,,25,28,29,30,112,,,,,,Nicolas Flammarion,رهبان,Christoph Lenzen,بیگی و آبام,یادگیری ماشین، هوش مصنوعی، جبر خطی، ۳*طراحی الگوریتم، ۲*ساختمان گسسته، ۲*برنامه‌نویسی پیشرفته,"EPFL (Adversarial Robustness), MPI (Distributed Algorithms)",رهبان (Adversarial Robustness),"ZeroGrad (under review Elsevier NN), Robust Routing (under review IEEE/ACM Transactions on Networking)","مدال نقره جهانی المپیاد کامپیوتر
چند تا کورس ماشین لرنینگی و اینا",,دوبی,Jan 6,Sep 13,Jun 1,عابدی (یک و شیشصد),Apr 5,Mar 23,Mar 28,Rejected!,,,,,
,دانشگاه,,Stanford,MIT,CMU,UC Berkeley,EPFL,U of T,UCLA,Maryland,,,Cornell,,,,,Harvard,,,,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,,,,,,,,,,,,,,,,,,,,,,,
,Department,,CS,EECS,"CS, ML",EECS,EDIC,CS,CS,CS,,,CS,,,,,GSAS,,,,,Khoury,,,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,ML,ML,ML,ML,ML,ML,ML,ML,,,ML,,,,,ML,,,,,ML,,,,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,قبل از سابمیشن,,,بدون مصاحبه,,,,,بدون مصاحبه,,,,,بدون مصاحبه,,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,REJ,REJ,REJ,REJ,ACC,REJ,REJ,Final Decision,,,REJ,,,,,REJ,,,,,REJ,,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,Feb 8,Mar 14,Feb 11,Mar 7,Jan 24,Mar 21,Apr 9,Feb 5,,,Mar 9,,,,,Feb 17,,,,,Apr 15,,,,,,,,,,,,,,,,,,,,,,,
,فاند,,,,,,"CHF 52,700",,,"$24,953 (RA or TA) + $2,500 (Dean's Fellowship) + Something from $5,600 to $11,000 for the summer RA or TA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,"Fee waived via GAAP program. The CS program is TOO competitive, so maybe try applying for other programs if you don't have tons of papers and a super strong background.",Fee waived via GAAP program. I recommend applying for the GAAP programs of a few universities if you need help with your SOP.,Fee waived via email (for at most 2 departments). Rejected from the ML program on Feb 11th.,,,Bruh,,Interview with Soheil Feizi in September,,,Fee waived via STEM program,,,,,No fee required this year for Iranians,,,,,"Fee waived via email. Hahaha, really funny :D",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
۸,کلیت رزومه,,کارشناسی ۹۶,علوم کامپیوتر,,,,Theory (Algorithms / Optimization) and with a focus on graph problems,17.75,,,,22,23,29,28,102,,,,,,خارجی,دکتر خزایی,خارجی,دکتر آبام,برنامه‌نویسی مقدماتی، احتمال، ساختمان‌داده,,"خارجی - Parameterized Algorithms
خارجی - Sublinear Algorithms",1 in parameterized algorithms (submitted to CSR2022),"۱- یک پروژه‌ای بود برای آنالیز کارایی یک سری الگوریتم در عمل و من چندتا از الگوریتماشو پیاده کردم ولی خب ریسرچ محسوب نمیشه احتمالا :)).
۲- یه تعداد خوبی درس مرتبط هم داشتم ولی نمی‌دونم مهمه یا نه.
۳- برنز کشوری المپیاد کامپیوتر
۴- ۴ سال تدریس المپیاد","۰- من نهایت تلاشم رو کردم که آمریکا نزنم! اروپا رو هم به خاطر نزدیک‌تر بودنش و ویزا و اینا و هم peaceful بودن بیشترش ترجیح می‌دادم ولی چون دکترای مستقیم می‌خواستم و به خاطر معدلم گزینه EPFL و ETH نداشتم هیچ جای معقولی که دوست داشته باشم جز مکس‌پلانک توی اروپا پیدا نکردم.
۱- حواستون به تعطیلات Thanksgiving باشه. توی آمریکا چهارمین پنج‌شمبه نوامبره و دانشگاه‌ها از چهارشمبه‌ش جواب ایمیل نمیدن تا دوشمبه (۵ روز تعطیلن در واقع)
۲- من استراتژی‌م خیلی استادمحور بوده! در واقع در انتخاب استادای دلخواهم زیادی سخت‌گیری کردم!‌ معمولا هم فقط یکی دو نفرو دوست داشتم هر دانشگاهی که اپلای کردم :)) توی sop اسم افراد بیشتری رو می‌نوشتم البته. قبل اپلای هم ایمیل زدم به استادای مدنظر (حداقل یک نفر از هر دانشگاه) ولی به جز Dartmouth که استاده مشتاق به نظر اومد، بقیه جوابی بهتر از تمپلیت «رزومه‌ت خوبه، اپلای کن.» ندادن. اسم استادای مورد علاقه‌م رو نوشتم تو توضیحات هر دانشگاه که اگر احیانا علایقتون مشابه منه شاید به درد بخوره. یه سری استادا هم علاقه‌ی وافر داشتم ولی گفتن دانشجو نمی‌خوان: Aaron Bernstein - Kent Qunruad - Sepehr Assadi (کوانرود در واقع جواب ایمیلم رو نداد ولی چون خیلی جوونه و تا حالا دانشجو نداشته گفتم لابد نمیخواد دانشجو بگیره و اپلای نکردم!)
۳- ریپورتای تافل رایگان خیلی از بچه‌ها هدر می‌ره ولی اگر واسه‌تون مهمه که هدر نره باید از اینکه اون دانشگاه تافل آفیشال رو ویو نمی‌کنه و حتما هم اپلای می‌کنید مطمئن شید. من خودم یه ریپورتام رو جایی فرستادم که GRE می‌خواست و حاضر نشد ویو کنه.
۴- هزینه‌هام رو اینجا می‌ذارم برای آیندگان بمونه: (من البته ریپورتای رایگان تافلم رو خیلی بد انتخاب کردم و از ۴ تا ۳ تاش رو نزدم نهایتا! یعنی اگر منطقی زده بودم اصا لازم نبود ریپورت اضافه بکنم!)
TOEFL 6447000
TOEFL Report (4) 2430000
IOE@UMich fee 2893000
CSE@UMich fee 2855000
UCI fee 4452000
Maryland fee 2362000
Dartmouth fee 1276000
Visa (MRV) fee 4656000
I20 Issuance fee 696000
Tot 28067000
۵- مقاله هه رو ۱۰ ژانویه سابمیت کردم و ۱۲ ژانویه به دانشگاها رزومه جدید فرستادم. (مکس پلانک و دوک اپلیکیشن فرمشون قابل آپدیت بود هنوز، بقیه رو ایمیل زدم.) مریلند جواب ندادن و UMich و UCI قبول نکردن رزومه‌مو آپدیت کنن.
۶- من واسه مصاحبه نورث‌ایسترنم خیلی نا آماده بودم و یکی از دلایلش این بود که تو ایمیلش گفته بود یه صحبت دوستانه س و چیز جدی‌ای نیست و اینا. و مثلا ریسرچام در بداهه م نبود و اینا :)) و خیلی منسجم نمیتونسم حرفامو بزنم! بنابراین همیشه وخت بذارید قبل مصاحبه و آماده کنید و اینا.
۷- حاجی‌آقایی به صورت خاص طلا داشتن واسش خیلی مهمه و به نظر میاد سهیل بهنژاد هم همین‌طور. اگر طلا ندارید، اپلای کردن توی تئوری برای استادی که خودش طلا داره ممکنه خیلی سیف نباشه :)) پارسال طلاها کمتر اپلای کرده بودن و حاجی‌آقایی غیر طلا هم اکسپت کرده‌بود ولی اگر طلا زیاد اپلای کنه شانسی ندارید دیگه.
۸- من اپلیکیشنامو ویتدرا نکردم چون میخواستم نتایجش برای آیندگان بمونه :دی اون UCI هم چون دوستامم اپلای کرده بودن ویتدرا کردم!
۹- نتایج اپلای امسال از نظر تقریبا همه کسایی که اپلای کردن بد بود! کلا به نظر فرایند شانسی‌ایه. من خوش‌شانسی اوردم خودم ولی کلا توصیه می‌کنم جاهایی که ایرانیای کمی اپلای میکنن و کمی تو ایران ناشناخته شده ترن هم اپلای کنید! شاید نظرم درست نباشه ولی حس می‌کنم نهایتا ایرانیایی که یه جا اپلای کردن یه دور هم با هم رقابت می‌کنن و خب اینکارو سخت می‌کنه!
۱۰- در صورت نیاز به اطلاعات بیشتر می‌تونید تلگرام بهم پیام بدید. @hannayzade",دوبی,Jan 9,Sep 22,June 2,نه هنوز,Apr 2,"Asking for Admission Supplement: Apr 19
I20 Issuance: Apr 25",,,,,,,۱- من خیلی شانسی موفق شدم که وقت سفارتم رو ریسکجول کنم و اینطوری نبود که صبح تا شب چک کنم و اینا. دوستم اما مجبور شد از «عابدی» استفاده کنه و خب بازه مطلوبش رو نسبتا گنده داد (۲۰ آپریل تا ۱۰ جون) که مثلا شانس ریسکجول بیشتر شه ولی نهایتا وقتش رو ریسکجول کردن به ۹ جون که خب یه مقدار دیره! خود عابدی هم میگه «صف» نداره و به نظر میاد تایم که باز میشه میده به کسی که اون تایم به ته بازه ش نزدیک تره! بنابراین شاید ایده خوبی نباشه که ته بازه تون دیر باشه.
,دانشگاه,,Cornell,UMich,UMich,CMU,Maryland,Duke,UCI,Dartmouth,,,Northeastern,,,,,TTIC,,,,,MPI,MPI,Waterloo,,,,,,,,,,,,,,,,,,,,,
,Degree,,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,Ph.D.,,,Ph.D.,,,,,Ph.D.,,,,,Ph.D.,Ph.D.,M.Math.,,,,,,,,,,,,,,,,,,,,,
,Department,,ORIE,IOE,CSE,Tepper,CS,CS,CS,CS,,,Khoury,,,,,,,,,,CIS,CIS,C&O,,,,,,,,,,,,,,,,,,,,,
,پروگرم / زمینه,,"OR
Mathematical Programming / Applied Prob & Stat","OR
Optimization / Stochastic Systems","CSE
Theory of Computation",ACO / OR,"CS
Algorithms and Theory","CS
Algortihms","CS
Algorithms","CS
Algorithms",,,"CS
Algorithms",,,,,Algorithms and Complexity,,,,,"CS@MaxPlanck (Algorithms, Theory, Logic)","IMPRS-TRUST (Algorithms, Theory, Logic)","C&O
Discrete Opt / Graph Theory",,,,,,,,,,,,,,,,,,,,,
,مصاحبه,,بدون مصاحبه,بدون مصاحبه,بدون مصاحبه,,,بدون مصاحبه,بدون مصاحبه,بعد از سابمیشن,,,بعد از سابمیشن,,,,,بدون مصاحبه,,,,,,بعد از سابمیشن,,,,,,,,,,,,,,,,,,,,,,
,وضعیت پذیرش,,Final Decision,REJ,REJ,REJ,Applied,REJ,Withdraw,ACC-Withdraw,,,REJ,,,,,REJ,,,,,REJ,ACC-Withdraw,,,,,,,,,,,,,,,,,,,,,,
,تاریخ دریافت نتیجه,,"Offer: Feb 11
Accept the offer: Apr 2",Feb 6 (فکر نمی‌کردم آخر هفته‌ها نتیجه بیاد!),Mar 21,Apr 18 > Apr 15 :)),,Mar 28,Withdraw on Feb 14,Feb 28,,,Apr 15,,,,,Mar 14,,,,,Feb 3,Mar 28,,,,,,,,,,,,,,,,,,,,,,
,فاند,,"Student Health Plan + $28.6k (TA, 1st academic year) + $6k (RA, 1st summer)
+ $28.6k/y (TA or RA, 2nd-5th academic years)
funding for other summers will generally be obtained through the advisor.
taxable / not gauranteed for the 5th year",,,,,,,Health Insurance + 5 * $2933/m for 9 month. Summer stipend is possible. Have to do 1 TA at least.,,,,,,,,,,,,,,هیچ حرفی از فاند نزدن تو ایمیلشون :/ (پیوست هم نداره.),,,,,,,,,,,,,,,,,,,,,,
,توضیح بیشتر,,"اپلای: فی کرنل رو که امسال همه ویو کردن! تافل آفیشال هم ایمیل زدم ویو کردن. و کلا آدم‌های دپارتمانه به شدت مهربون بودن، خیلی زیاد. SOPم رو هم برای این پروگرم ریویو SOP شون فرستادم و راضی بودم D: و اینکه به استادی توی کرنل ایمیل نزدم.
نتیجه: قبل از اینکه آفر رسمی بیاد بهم ایمیل زدن که ریپورت رسمی تافلت رو بفرست اگر آفر می‌خوای.
David P. Williamson / David B. Shmoys","اپلای: برای ویو فی گرد آفیس یه فرم بهم ریپلای کرد و گفتن اینترنشنالا کانسیدر نمی‌شن معمولا. بعد توی فرمش یه گزینه اجباری داشت که تایپ ویزا یا اقامتتون چیه و خب من فرمش رو پر نکردم کلا.
نتیجه: این دپارتمانه وسطای ژانویه یه ایمیل میزنه به یه سری از اپلیکنتا و دعوتشون میکنه به یه ایونتی که وسطای فوریه‌ س. (امسال ۱۱ فوریه س) دعوت نشدن به این ایونته به معنای ریجکته و من چون دوستم دعوت شده‌بود از قبل می‌دونسم ریجکت می‌شم.
Viswanath Nagarajan",Thatchaphol Saranurak / Euiwoong Lee,"GRE می‌خواست که نداشتم :دی ولی گفتن اپلیکیشنت بررسی میشه و اگر لازم بود میگیم که GRE بدی.
فی و تافل آفیشال رو ویو کردن.
خود دپارتمان یه ۱۰ تا اینا پروگرم داره، میتونی تا سقف ۳ تاش رو انتخاب کنی. من اولویت اولم رو ACO زدم و دومی رو OR

Gérard Cornuéjols / R Ravi / Bernhard Haeupler->CS-ACO","فی و تافل آفیشال رو ویو نکردن. البته واقعا برای فی ویور جواب طولانی‌ای داد و گفت این لینکارو چک کن و اینا ولی اینترنشنالا مشمول هیچ‌کودوم نمی‌شدن.

MohammadTaghi Hajiaghayi","فی رو ویو کردن ولی تافل آفیشال رو نه.

Debmalya Panigrahi","اپلای: توی سایتشون ازین چیزا دیدم که اصلا ویو نمی‌کنیم و اینا و اصا ایمیل درخواست ویو نزدم.
ویتدرا: برای ویتدرا دکمه خاصی نداشت. یه فرم توی اپلیکیشن بود که اونجا نوشتم می‌خوام ویتدرا کنم و بعد بهم ایمیل زدن که ویتدرا شد و اینا. و اینکه اینجا رو تقریبا سیف زده بودم اما استاده ۳ ۴ ساله ایرانی اکسپت کرده و هرسال آفرشو ریجکت کردن و یکم لج کرده ظاهرا. پارسالم هشدار داد بود به بچه‌ها که دیگه ایرانی نمیگیرم و اینا :)) منم قبل اپلای ایمیل زدم و جوابش خوب بود و برای همین اپلای کردم وگرنه دوستام گفته بودن که این دلش از ایرانیا خونه و اینا. خلاصه که احتمالا ریجکت می‌شدم وگرنه تا الان باید مصاحبه می‌کرد حداقل.
Vijay Vazirani / David Eppstein","اپلای: تافل آفیشال نمی‌خواد. فی‌ش هم خیلی کم بود. (۴۰ دلار)
مصاحبه: یه استادی که همینطوری اسمشو تو SOP نوشته بودم ۱۶ فوریه ایمیل زد و برای ۲۱ فوریه مصاحبه گذاشت. مصاحبه واسه‌ی کل گروه بود نه خود آقاهه ولی خیلی آدم مهربونی به نظر میرسید. و کلی از معایب دانشگاهشونم گفت حتی :)) گفت نتایج باید ۲ ۳ هفته دیگه بیاد منطقا. تکنیکال نبود مصاحبه و فقط یکم راجع به ریسرچم پرسید و اینا.

Deeparnab Chakrabarty",,,"اپلای: تافل آفیشال نمی‌خواد و فی رو هم راحت ویو میکنن.
مصاحبه: ۱۷ ژانویه مصاحبه بود (نوتیفیکیشن ۸ ژانویه) و خودشم گفت که صرفا می‌خوام یکم از ریسرچت بشنوم و بالعکس و نترس و اینا. سوال خاصی هم نپرسید و گفت ادمیشنا به احتمال زیاد تا نیمه اول فوریه مشخص می‌شن.
Soheil Behnezhad",,,,,"فی که نداره. کارنامه آفیشال می‌خواست، ایمیل زدم برای ویو کارنامه و تافل آفیشال و گفت اوکیه و توی اپلیکیشنت می‌نویسم ولی حالا بفرستی بهتره و من کارنامه که نداشتم، تافلم نفرستادم :دی [اینجا رو زده بودم که ریجکت بشم.]

Julia Chuzhoy->Israelian",,,,,فی و تافل آفیشال نمیخواد. ریکام هم دوتا اجباریه.,"اپلای: فی و تافل آفیشال نمیخواد. ریکام هم دوتا اجباریه.
مصاحبه: ۸ مارچ ایمیل دادن که ۱۶ مارچ باید بیای یه تاک ۱۵ دقیقه‌ای بدی راجع به یه مقاله‌ به انتخاب خودت. فقط عنوان و خلاصه‌ی مقاله رو قبلش به ما بگو و ۱۰ دقیقه هم بعدش ممکنه ازت سوال بپرسیم. بعدا هم یه ایمیل زدن که اسلایداتو تا قبل از صبح برای ما بفرست. توی مصاحبه م یه ۱۰ نفری حضور داشتن :)) ولی فقط ۲ ۳ تاشون سوال پرسیدن و اینا. یه مصاحبه دیگه‌م ۱۸ مارچ بود با یکی از استاداشون که ۴ تا سوال درسی پرسید و من فقط دوتاشو کامل حل کردم و خودم راضی نبودم اصلا.","تصمیم گرفتم اپلای نکنم چون دکترا قبول بشم نمیرم مستر. ظاهرا پذیرش زمستون هم داره و در بدترین حالت می‌ذارم ریزالت بقیه که اومد دوباره اپلای می‌کنم.
توی سایتشون نوشته WS >= 25 ولی ایمیل زدم گفتن که اپلیکیشنت بررسی می‌شه ولی اگر اکسپت بشی ممکنه بخوایم کلاس بری.
GRE رو هم نوشته بود باید بدین ولی ایمیل زدم گفتن آپشناله.
فی و تافل آفیشال رو ویو نکردن.",,,,,,,,,,,,,,,,,,,,,
